Elastic_Modulus (GPa),Load (kN),Length_of_Beam (m),X-sectional Width b (mm),X-sectional Height h (mm),Max Deflection (mm)
151,2,11,58,95,88.62827
158,3,7,61,88,39.16701
158,4,5,36,91,29.1626
141,1,15,31,84,325.683
177,4,13,62,106,168.0922
162,5,9,65,106,72.65936
116,3,12,30,97,408.0473
188,3,14,38,81,542.0619
143,4,10,59,104,105.36877
195,2,11,40,105,73.703064
134,5,12,32,103,460.9855
184,3,8,69,87,45.93107
107,3,14,62,88,455.22058
132,3,10,52,99,112.610374
182,3,14,46,91,326.20602
107,2,12,55,82,266.27216
193,4,8,69,109,29.688215
138,2,12,36,80,339.67392
171,1,11,34,98,60.808567
185,4,11,59,87,185.18105
166,1,6,56,99,5.986763
199,5,7,46,93,58.22967
182,5,13,49,96,348.0638
149,5,6,70,93,32.183304
182,4,10,36,109,117.85462
186,2,10,58,87,70.38357
177,2,12,37,95,153.87495
175,5,9,50,87,158.15094
108,2,11,67,104,81.76162
165,1,6,35,90,12.826679
119,5,7,43,95,97.72775
184,2,6,69,82,15.428202
134,5,6,70,87,43.712254
111,1,10,48,98,49.85372
125,5,11,49,87,412.50024
126,5,9,62,110,87.63897
197,3,6,60,88,20.111734
169,1,15,48,108,82.568535
167,3,6,46,108,16.74054
113,5,11,46,94,385.36142
104,5,13,57,81,871.71954
101,4,13,53,95,478.6984
107,2,9,33,109,79.71138
161,1,7,65,89,11.623178
172,1,10,36,93,50.194973
121,3,15,35,95,697.12524
192,1,15,44,100,99.87571
173,1,5,50,96,4.083384
140,1,10,58,84,51.945282
178,3,9,66,87,70.6752
165,2,15,50,93,254.29686
199,4,10,66,106,63.92716
111,4,9,33,107,162.45732
192,1,9,50,99,19.565487
114,5,8,56,110,75.31978
151,1,8,49,107,14.1216545
163,3,10,42,99,112.90645
158,4,6,36,91,50.392975
148,4,13,50,109,229.25502
174,2,11,30,105,110.131004
184,3,13,43,86,327.42337
123,5,13,41,108,432.29462
119,3,9,65,87,107.342255
105,2,14,57,102,216.01775
118,3,14,46,105,327.51984
185,3,14,53,85,341.77557
189,3,5,64,88,11.373169
200,2,12,55,106,65.94827
147,1,11,52,104,38.698788
163,4,7,52,90,55.510563
167,1,6,49,89,9.360763
127,2,6,58,103,13.41777
167,1,14,56,86,115.32521
132,1,15,47,108,107.96195
143,3,12,42,85,351.36856
167,4,7,31,96,74.88628
125,2,8,38,98,57.26222
138,4,13,69,103,211.14958
113,2,14,64,109,146.49275
163,5,14,67,89,445.51434
105,1,10,32,105,64.27363
185,2,13,36,91,218.87778
160,1,10,52,83,52.55117
181,1,6,66,90,6.200743
192,5,10,46,104,125.82036
154,1,8,49,98,18.022495
192,5,10,53,91,163.00792
168,4,8,63,80,94.48224
114,1,10,53,97,45.336094
200,3,15,54,95,273.3635
117,3,9,57,89,116.2942
102,1,14,38,84,298.6087
154,4,13,47,81,571.15814
175,1,13,50,87,95.32444
199,1,7,51,84,14.25519
178,4,8,47,84,103.255745
125,4,6,68,89,36.046642
138,1,10,62,92,37.52371
107,5,11,56,110,208.61147
140,4,7,45,96,61.537502
144,2,11,41,89,159.89383
172,2,12,44,99,117.659515
142,2,14,61,87,240.53494
129,5,13,48,95,517.295
133,4,7,68,107,30.958666
165,2,13,53,103,114.95519
159,4,14,37,85,759.5012
142,1,15,34,87,265.39258
130,4,15,41,98,672.77264
130,3,7,47,98,44.733814
193,3,8,48,81,77.99695
127,2,13,30,107,235.3552
142,2,12,37,85,267.77307
154,2,14,68,107,106.94811
179,4,5,60,92,14.946594
175,2,8,36,90,55.740635
159,2,11,59,95,82.7424
117,2,12,47,96,177.58911
127,4,6,30,86,89.13196
117,3,12,49,103,206.8766
100,5,5,55,104,25.255577
143,3,13,45,85,416.95193
192,5,11,47,86,289.86356
117,3,12,52,91,282.67773
125,2,15,31,84,734.74084
164,5,15,34,107,617.6034
166,3,11,60,100,100.22591
180,2,11,54,110,51.440327
101,2,14,61,86,350.11243
190,5,8,41,101,79.7404
166,4,12,62,85,273.39288
138,2,14,62,93,199.35837
102,3,11,70,104,124.291405
168,2,9,44,88,72.35817
128,2,14,69,103,142.16196
136,2,14,62,86,255.81627
110,1,14,35,103,163.0616
165,3,12,67,99,120.82051
155,5,14,30,108,585.558
149,3,8,62,88,60.996548
156,1,10,60,98,28.378271
121,4,6,33,100,54.09467
151,1,5,65,90,4.3674927
114,2,10,42,88,153.23848
153,1,12,39,102,68.222435
167,5,12,66,110,147.23643
122,4,5,35,94,35.245087
158,5,7,56,104,43.078346
141,5,10,37,109,185.01617
190,5,6,58,94,29.498411
154,5,5,69,80,28.719723
187,1,8,56,87,18.561907
200,4,12,34,96,287.22427
152,2,14,33,95,319.02576
131,5,9,49,106,119.193504
127,2,13,51,108,134.63405
159,3,5,64,109,7.1140137
167,5,7,52,105,42.649742
113,2,9,40,102,75.99037
200,5,7,54,97,43.497585
179,5,12,70,85,280.70224
170,5,6,45,104,31.37634
114,3,11,60,107,119.13296
190,5,10,35,100,187.96991
182,2,14,68,93,137.82404
132,2,6,42,94,23.454004
154,5,15,34,88,1182.323
160,1,8,48,96,18.83801
112,3,13,68,96,244.54044
147,5,13,57,104,291.372
160,2,12,48,103,102.95344
132,2,11,63,103,73.23554
136,1,6,37,105,9.270118
130,4,13,33,94,616.57965
111,2,5,48,89,16.639711
114,2,11,67,108,69.16671
124,5,13,35,103,579.08014
100,1,8,49,90,35.833263
144,5,7,42,103,64.87549
162,4,5,30,94,30.966362
104,1,9,46,93,47.36172
173,5,14,43,85,750.7974
114,2,13,59,108,129.64983
132,3,10,36,100,157.8283
145,4,14,39,91,643.91315
154,2,9,63,102,35.40265
165,3,5,59,80,18.808985
191,3,11,58,98,95.741394
163,5,14,41,88,753.1382
174,3,15,53,106,230.45828
198,4,12,64,106,114.49354
116,2,5,53,92,13.055175
110,3,14,56,88,490.24893
156,1,6,54,92,8.232124
196,2,5,51,90,8.576818
120,5,14,39,101,711.3514
116,4,8,53,93,103.53502
115,3,7,65,107,28.092659
146,1,15,30,80,376.2441
119,3,14,50,87,525.25555
166,2,15,56,85,295.5908
148,3,11,66,104,90.85182
183,2,14,65,103,105.554794
140,3,11,67,100,106.42323
138,1,7,34,80,35.694897
178,1,6,40,87,11.517442
132,1,11,49,99,53.020336
199,4,15,51,107,271.45584
106,3,11,62,87,230.66623
108,5,7,48,80,161.53595
174,1,10,31,109,35.788998
117,4,14,58,101,392.4697
112,4,10,41,109,168.15842
157,2,7,45,110,18.237862
167,3,5,40,93,17.448013
106,5,14,37,104,777.47516
163,3,6,64,83,27.15896
168,4,12,65,106,132.86284
187,5,13,33,91,590.55493
152,3,15,32,108,413.11426
140,2,6,46,84,28.29437
125,3,15,46,105,380.27634
171,1,11,70,87,42.21494
125,4,14,41,101,519.66815
105,3,13,44,98,378.94058
144,5,14,67,93,441.98544
160,3,8,67,105,30.943438
158,4,15,49,87,662.0074
126,2,8,34,102,56.31058
192,3,6,70,81,22.68092
156,3,14,55,108,190.4087
151,5,12,30,90,654.0757
161,5,12,37,84,611.77014
161,2,5,37,98,11.147415
164,2,9,41,89,76.89531
110,2,10,52,91,115.99781
151,5,10,65,94,153.33318
110,4,14,45,94,667.41406
134,4,10,38,105,169.64603
161,5,13,40,100,426.4363
154,2,6,61,101,11.158585
165,5,7,49,80,103.574814
176,5,7,33,83,129.10504
191,2,15,39,94,272.7484
123,3,15,38,102,510.3238
126,2,15,57,110,176.53073
102,2,5,43,95,16.620367
118,2,14,51,101,221.27776
133,2,9,63,88,63.834774
167,4,15,63,86,504.33768
195,1,13,46,107,49.98346
104,4,6,49,85,69.01883
142,2,14,61,84,267.2379
139,3,13,66,85,292.4663
100,2,8,30,80,166.66667
